divisao;treino_percentual;teste_percentual;registros_total;registros_treino;registros_teste;accuracy;precision;recall;f1_score;auc_roc;tn;fp;fn;tp;cv_auc_mean;cv_auc_std
80_20;80;20;68677;54941;13736;0.7079935934769948;0.7081153788671349;0.6971748087110065;0.7026025061170016;0.7699696634568902;4987;1953;2058;4738;0.7712961632752064;0.0032238038874239823
75_25;75;25;68677;51507;17170;0.7104834012813046;0.7110685194058457;0.6987639788110653;0.7048625541768093;0.7699470073089272;6263;2412;2559;5936;0.7712964940402016;0.003224327268991522
70_30;70;30;68677;48073;20604;0.7097165598912832;0.7101246882793018;0.6983519717480872;0.7041891290370443;0.7710282856484301;7504;2906;3075;7119;0.7712956650204126;0.0032226129685263135
